Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
145,Felipe Avenatti,uy URU,FW,Bologna,it Serie A,24,1993,5.2,7,1.34,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Durel Avounou,cg CGO,"DF,MF",Caen,fr Ligue 1,19,1997,7.2,5,0.69,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,13,0.77,10,0,1,1,1,0,1,0.06,1,0,0,0,0,0,Matches
148,André Ayew,gh GHA,"MF,FW",West Ham,eng Premier League,27,1989,9.9,13,1.31,8,0,3,0,2,0,4,0.40,3,0,1,0,0,0,Matches
149,André Ayew,gh GHA,"MF,FW",Swansea City,eng Premier League,27,1989,10.6,20,1.89,15,1,1,2,1,0,4,0.38,2,0,0,1,1,0,Matches
150,Jordan Ayew,gh GHA,"FW,MF",Swansea City,eng Premier League,25,1991,31.7,83,2.62,38,1,15,12,12,5,4,0.13,1,0,1,2,0,0,Matches
151,Karim Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.0,44,1.76,36,5,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37.0,61,1.65,58,0,1,1,0,1,8,0.22,8,0,0,0,0,0,Matches
153,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,21,1.63,18,1,1,0,0,1,2,0.16,2,0,0,0,0,0,Matches
154,Khouma Babacar,sn SEN,FW,Fiorentina,it Serie A,24,1993,5.0,13,2.61,10,0,1,0,2,0,1,0.20,0,0,0,0,1,0,Matches
155,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,15,1.80,9,0,1,2,3,0,2,0.24,2,0,0,0,0,0,Matches
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,30,1986,27.7,75,2.70,51,0,18,5,1,0,14,0.50,8,0,6,0,0,0,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,97,3.71,85,0,4,4,2,2,4,0.15,2,0,0,2,0,0,Matches
158,Holger Badstuber,de GER,"DF,MF",Stuttgart,de Bundesliga,28,1989,24.1,9,0.37,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
159,Dylan Bahamboula,cg CGO,"FW,MF",Dijon,fr Ligue 1,22,1995,0.3,2,5.81,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
160,Farès Bahlouli,fr FRA,"MF,FW",Lille,fr Ligue 1,22,1995,3.4,18,5.29,7,8,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,Stéphane Bahoken,cm CMR,FW,Strasbourg,fr Ligue 1,25,1992,18.5,32,1.73,21,0,2,7,2,0,2,0.11,1,0,1,0,0,0,Matches
162,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,33,1984,28.2,73,2.59,57,3,0,6,5,2,7,0.25,5,1,0,1,0,0,Matches
