,Player,Squad,Pos,GCA90,SCA90
442,Duje Ćaleta-Car,Lyon,DF,0.0,0.28
443,Hakan Çalhanoğlu,Inter,MF,0.65,4.58
444,Dominic Calvert-Lewin,Everton,FW,0.22,1.46
445,Drissa Camara,Parma,"MF,FW",0.4,3.01
446,Issiaga Camara,Nice,MF,0.0,9.0
447,Lamine Camara,Monaco,MF,0.57,3.59
448,Mahdi Camara,Brest,"MF,FW",0.24,2.4
449,Ousmane Camara,Angers,DF,0.0,1.79
450,Francesco Camarda,Milan,"FW,MF",0.43,3.04
451,Eduardo Camavinga,Real Madrid,"MF,DF",0.16,2.54
452,Nicolò Cambiaghi,Bologna,FW,1.16,4.36
453,Andrea Cambiaso,Juventus,"DF,FW",0.36,3.45
454,Axel Camblan,Brest,"MF,FW",0.0,0.0
455,Sergio Camello,Rayo Vallecano,FW,0.4,3.02
456,José Campaña,Las Palmas,MF,0.3,2.95
457,Thomas Campaniello,Empoli,FW,0.0,0.0
458,Cole Campbell,Dortmund,"MF,FW",0.0,0.0
459,Emre Can,Dortmund,"DF,MF",0.09,1.37
460,Peio Canales,Athletic Club,"MF,FW",0.0,3.47
461,Matteo Cancellieri,Parma,"FW,MF",0.19,1.71
462,Fali Candé,Venezia,DF,0.18,0.82
463,Antonio Candela,Venezia,DF,0.09,1.52
464,Antonio Candela,Valladolid,DF,0.0,0.79
465,Sergi Canós,Valencia,"MF,FW",0.24,4.6
466,Jaydee Canvot,Toulouse,"DF,MF",0.16,1.14
467,Pierrick Capelle,Angers,MF,0.19,2.8
468,Gianluca Caprari,Monza,"MF,FW",0.27,3.43
469,Elia Caprile,Cagliari,GK,0.0,0.0
470,Elia Caprile,Napoli,GK,0.0,0.0
471,Gabin Capuano,Lens,FW,0.0,8.18
472,Francesco Caputo,Empoli,FW,0.0,0.0
473,Maxence Caqueret,Como,MF,0.66,3.4
