,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
220,213,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,22,1996,15,11,991,11.0,1,3,4,1,0,0,4,0,0.8,0.8,2.7,3.5,19,77,24,0.09,0.27,0.36,0.09,0.36,0.07,0.24,0.31,0.07,0.31,Matches
221,214,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,20,1999,7,3,415,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,13,8,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
222,215,Gil Bastião Dias,pt POR,"MF,DF",Granada,es La Liga,22,1996,12,3,356,4.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,12,17,12,0.00,0.25,0.25,0.00,0.25,0.07,0.09,0.16,0.07,0.16,Matches
223,216,Gil Bastião Dias,pt POR,"DF,MF",Monaco,fr Ligue 1,22,1996,14,12,1057,11.7,0,0,0,0,0,0,3,0,1.0,1.0,1.6,2.6,43,67,71,0.00,0.00,0.00,0.00,0.00,0.08,0.13,0.22,0.08,0.22,Matches
224,217,Borja Bastón,es ESP,"MF,FW",Aston Villa,eng Premier League,26,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
225,218,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,20,1999,25,21,1921,21.3,2,0,2,2,0,0,9,1,1.3,1.3,0.7,2.0,50,107,24,0.09,0.00,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,Matches
226,219,Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,16,6,765,8.5,1,0,1,1,0,0,4,0,0.4,0.4,0.0,0.4,14,17,11,0.12,0.00,0.12,0.12,0.12,0.05,0.00,0.05,0.05,0.05,Matches
227,220,Oliver Batista-Meier,de GER,MF,Bayern Munich,de Bundesliga,18,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
228,221,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,25,1993,16,1,239,2.7,1,1,2,1,0,0,0,0,2.4,2.4,0.2,2.6,8,1,22,0.38,0.38,0.75,0.38,0.75,0.92,0.06,0.98,0.92,0.98,Matches
229,222,Cristian Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,24,16,1392,15.5,3,1,4,3,0,1,1,0,1.7,1.0,1.7,2.6,10,99,40,0.19,0.06,0.26,0.19,0.26,0.11,0.11,0.22,0.06,0.17,Matches
230,223,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
231,224,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,27,20,1791,19.9,2,2,4,2,0,0,4,0,2.0,2.0,2.3,4.3,9,77,23,0.10,0.10,0.20,0.10,0.20,0.10,0.12,0.22,0.10,0.22,Matches
232,225,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,de Bundesliga,19,1999,26,17,1493,16.6,7,2,9,7,0,0,3,0,8.8,8.8,2.1,11.0,39,35,105,0.42,0.12,0.54,0.42,0.54,0.53,0.13,0.66,0.53,0.66,Matches
233,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
234,226,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,22,1996,10,4,381,4.2,1,0,1,1,0,0,1,0,1.0,1.0,0.6,1.6,5,4,27,0.24,0.00,0.24,0.24,0.24,0.23,0.15,0.37,0.23,0.37,Matches
235,227,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,25,1994,32,20,2102,23.4,6,1,7,6,0,0,1,0,4.5,4.5,3.7,8.2,77,48,182,0.26,0.04,0.30,0.26,0.30,0.19,0.16,0.35,0.19,0.35,Matches
236,228,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,23,1996,29,24,2213,24.6,1,1,2,1,0,0,8,0,0.6,0.6,0.6,1.2,12,59,9,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.05,0.03,0.05,Matches
237,229,Sheraldo Becker,sr SUR,"MF,FW",Union Berlin,de Bundesliga,24,1995,13,5,540,6.0,0,2,2,0,0,0,1,0,0.2,0.2,0.9,1.0,17,5,33,0.00,0.33,0.33,0.00,0.33,0.03,0.14,0.17,0.03,0.17,Matches
238,230,Timo Becker,de GER,"DF,MF",Schalke 04,de Bundesliga,22,1997,10,4,336,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,15,14,6,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
239,231,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34,34,3057,34.0,1,1,2,1,0,0,4,0,1.1,1.1,1.1,2.2,4,90,0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.07,0.03,0.07,Matches
240,232,Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
241,233,Valon Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,17,13,1107,12.3,0,0,0,0,0,0,4,1,0.2,0.2,0.0,0.2,5,38,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
242,234,Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,6,0,109,1.2,0,0,0,0,0,0,1,0,1.1,1.1,0.0,1.1,6,2,14,0.00,0.00,0.00,0.00,0.00,0.91,0.03,0.94,0.91,0.94,Matches
243,235,Gaëtan Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,7,6,580,6.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,36,17,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
244,236,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,de Bundesliga,27,1992,5,3,269,3.0,0,0,0,0,0,0,0,0,1.3,1.3,0.3,1.5,4,5,22,0.00,0.00,0.00,0.00,0.00,0.43,0.09,0.52,0.43,0.52,Matches
245,237,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,23,20,1816,20.2,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,18,77,22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
246,238,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches
247,239,Raoul Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
248,240,Karim Bellarabi,de GER,"FW,DF",Leverkusen,de Bundesliga,29,1990,26,17,1424,15.8,4,6,10,4,0,0,2,0,6.4,6.4,5.0,11.4,106,43,207,0.25,0.38,0.63,0.25,0.63,0.40,0.32,0.72,0.40,0.72,Matches
249,241,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,24,16,1497,16.6,0,0,0,0,0,0,2,0,1.0,1.0,1.2,2.1,40,64,65,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
